Player,Team,K Rank,wk 1,wk 2,wk 3,wk 4,wk 5,wk 6,wk 7,wk 8
Doug Baldwin,SEA,15.342857142857143,24.400000000000002,4.0,38.00000000000001,10.8,BYE,6.2,13.8,10.200000000000001
Alshon Jeffery,CHI,15.325,21.0,19.200000000000003,14.0,9.200000000000001,15.4,18.6,6.6000000000000005,18.6
Jamison Crowder,WAS,15.225000000000001,11.600000000000001,13.8,21.6,4.2,7.0,14.6,21.6,27.400000000000002
Brandon Marshall,NYJ,15.093333333333335,6.4,20.200000000000003,5.4,23.8,28.8,14.0,7.800000000000001,13.600000000000001
Travis Benjamin,SD,14.95,6.4,34.8,16.400000000000002,9.600000000000001,23.400000000000002,3.4000000000000004,10.8,14.8
Quincy Enunwa,NYJ,14.8,16.8,18.400000000000002,7.4,12.0,10.200000000000001,8.4,20.6,24.6
Tyrell Williams,SD,14.749999999999998,14.200000000000001,18.200000000000003,13.8,8.0,29.400000000000002,5.6000000000000005,28.0,0.8
Jordan Matthews,PHI,14.542857142857143,28.8,14.200000000000001,9.8,BYE,13.0,15.0,2.0,19.0
Allen Hurns,JAC,14.37142857142857,15.0,12.8,8.0,15.4,BYE,14.8,9.0,25.6
Sammie Coates,PIT,13.999999999999998,11.200000000000001,20.6,10.0,15.600000000000001,39.8,0.0,0.8,BYE
Steve Smith,BAL,13.6,3.8000000000000003,12.8,17.400000000000002,28.200000000000003,5.800000000000001,OUT,OUT,BYE
Eddie Royal,CHI,13.266666666666666,17.4,10.4,4.2,28.200000000000003,8.6,10.8,OUT,OUT
DeAndre Hopkins,HOU,13.100000000000001,16.8,28.6,11.200000000000001,0.8,17.200000000000003,14.200000000000001,7.2,8.8
Kendall Wright,TEN,13.080000000000002,OUT,OUT,OUT,2.8000000000000003,1.8,32.6,2.4000000000000004,25.8
Allen Robinson,JAC,13.028571428571427,14.4,10.8,23.4,17.0,BYE,9.8,1.8,14.0
Brian Quick,LA,12.771428571428572,4.6000000000000005,1.6,16.6,25.8,10.200000000000001,12.200000000000001,18.400000000000002,BYE
Jeremy Maclin,KC,12.428571428571429,18.400000000000002,13.600000000000001,7.0,15.600000000000001,BYE,9.8,8.0,14.6
Brandon LaFell,CIN,12.4,18.2,7.800000000000001,6.4,8.8,25.6,8.6,22.6,1.2000000000000002
Will Fuller,HOU,12.342857142857143,27.400000000000002,20.8,6.2,22.2,0.8,OUT,4.4,4.6000000000000005
Cameron Meredith,CHI,12.233333333333334,OUT,OUT,4.800000000000001,5.6000000000000005,33.2,22.6,2.4000000000000004,4.800000000000001
Terrance Williams,DAL,12.200000000000001,6.800000000000001,OUT,17.6,14.8,14.0,15.0,BYE,5.0
Tavon Austin,LA,12.028571428571427,3.0,11.2,26.800000000000004,1.6,17.0,5.200000000000001,19.4,BYE
Golden Tate,DET,11.675,8.600000000000001,2.6,6.4,0.2,9.0,39.6,18.6,8.4
Kenny Stills,MIA,11.62857142857143,3.2,13.8,15.200000000000001,20.8,0.0,2.4000000000000004,26.0,BYE
Marquise Goodwin,BUF,11.6,OUT,28.400000000000002,1.2000000000000002,2.4000000000000004,8.6,4.4,24.6,OUT
Donte Moncrief,IND,11.533333333333333,18.8,1.8,OUT,OUT,OUT,OUT,OUT,14.000000000000002
Chris Hogan,NE,11.325000000000001,18.0,11.8,0.6000000000000001,0.0,23.2,7.800000000000001,5.0,24.2
Adam Thielen,MIN,11.257142857142856,10.8,8.200000000000001,5.800000000000001,4.2,31.400000000000002,BYE,10.4,8.0
Sterling Shepard,NYG,11.257142857142856,14.6,23.400000000000002,20.6,6.0,2.8000000000000003,5.0,6.4,BYE
Rishard Matthews,TEN,11.175,5.2,8.0,6.4,16.400000000000002,12.4,20.0,7.4,13.600000000000001
Jeremy Kerley,SF,11.171428571428574,12.200000000000001,5.800000000000001,4.800000000000001,23.6,26.400000000000002,2.4000000000000004,3.0,BYE
DeSean Jackson,WAS,11.149999999999999,20.400000000000002,8.0,25.200000000000003,1.0,7.0,11.0,7.0,9.600000000000001
Mohamed Sanu,ATL,11.049999999999999,24.0,3.8000000000000003,6.2,4.4,8.6,15.4,3.2,22.8
John Brown,ARI,10.857142857142858,1.6,2.8000000000000003,14.0,28.8,2.2,10.8,OUT,15.8
DeVante Parker,MIA,10.833333333333334,OUT,21.200000000000003,16.200000000000003,4.0,14.0,5.6000000000000005,4.0,BYE
Julian Edelman,NE,10.675,16.400000000000002,15.200000000000001,10.4,3.4000000000000004,7.0,7.6,12.0,13.4
Pierre Garcon,WAS,10.650000000000002,10.200000000000001,5.0,11.8,7.800000000000001,17.200000000000003,15.4,4.4,13.4
